Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLineCode,CountLine,CountSemicolon,CountDeclFunction
File,"DataMask.java","@l./core/src/main/java/com/google/zxing/qrcode/decoder/DataMask.java",,"1.00",,12,8,12,,,62,141,17,10
File,"DataMaskTestCase.java","@l./core/src/test/java/com/google/zxing/qrcode/decoder/DataMaskTestCase.java",,"0.30",,9,0,11,,,61,94,25,19
File,"DataMatrixBlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/datamatrix/DataMatrixBlackBox1TestCase.java",,"1.38",,1,0,1,,,13,36,9,1
File,"DataMatrixBlackBox2TestCase.java","@l./core/src/test/java/com/google/zxing/datamatrix/DataMatrixBlackBox2TestCase.java",,"1.38",,1,0,1,,,13,36,9,1
File,"DataMatrixBlackBox3TestCase.java","@l./core/src/test/java/com/google/zxing/datamatrix/DataMatrixBlackBox3TestCase.java",,"1.38",,1,0,1,,,13,36,9,1
File,"DataMatrixReader.java","@l./core/src/main/java/com/google/zxing/datamatrix/DataMatrixReader.java",,"0.38",,3,1,5,,,102,160,66,5
File,"DataMatrixSymbolInfo144.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/DataMatrixSymbolInfo144.java",,"1.07",,3,0,3,,,14,35,4,3
File,"DataMatrixWriter.java","@l./core/src/main/java/com/google/zxing/datamatrix/DataMatrixWriter.java",,"0.33",,2,0,4,,,141,220,91,4
File,"DataMatrixWriterTestCase.java","@l./core/src/test/java/com/google/zxing/datamatrix/DataMatrixWriterTestCase.java",,"0.50",,3,0,3,,,42,74,31,3
File,"DebugPlacement.java","@l./core/src/test/java/com/google/zxing/datamatrix/encoder/DebugPlacement.java",,"0.68",,2,0,2,,,22,42,16,2
File,"DecodeDoSFilter.java","@l./zxingorg/src/main/java/com/google/zxing/web/DecodeDoSFilter.java",,"1.73",,0,0,0,,,11,33,3,0
File,"DecodeFormatManager.java","@l./android/src/com/google/zxing/client/android/DecodeFormatManager.java",,"0.21",,1,0,4,,,78,105,43,4
File,"DecodeHandler.java","@l./android/src/com/google/zxing/client/android/DecodeHandler.java",,"0.32",,3,3,4,,,78,115,48,4
File,"DecodeHintManager.java","@l./android/src/com/google/zxing/client/android/DecodeHintManager.java",,"0.34",,1,0,4,,,163,234,88,4
File,"DecodeHintType.java","@l./core/src/main/java/com/google/zxing/DecodeHintType.java",,"3.46",,4,13,4,,,24,128,6,2
File,"DecodeServlet.java","@l./zxingorg/src/main/java/com/google/zxing/web/DecodeServlet.java",,"0.11",,4,3,8,,,406,492,233,8
File,"DecodeServletTestCase.java","@l./zxingorg/src/test/java/com/google/zxing/web/DecodeServletTestCase.java",,"0.51",,1,0,1,,,37,68,28,1
File,"DecodeThread.java","@l./android/src/com/google/zxing/client/android/DecodeThread.java",,"0.30",,3,4,3,,,74,111,40,3
File,"DecodeWorker.java","@l./javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java",,"0.15",,3,3,7,,,209,270,131,7
File,"DecodeWorkerTestCase.java","@l./javase/src/test/java/com/google/zxing/client/j2se/DecodeWorkerTestCase.java",,"0.51",,1,0,1,,,43,69,16,1
File,"DecodedBitStreamParser.java","@l./core/src/main/java/com/google/zxing/datamatrix/decoder/DecodedBitStreamParser.java",,"0.30",,3,8,13,,,453,590,223,11
File,"DecodedBitStreamParser.java","@l./core/src/main/java/com/google/zxing/maxicode/decoder/DecodedBitStreamParser.java",,"0.12",,1,0,10,,,178,216,95,10
File,"DecodedBitStreamParser.java","@l./core/src/main/java/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java",,"0.27",,1,0,9,,,280,375,137,9
File,"DecodedBitStreamParser.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/DecodedBitStreamParser.java",,"0.31",,3,6,10,,,499,698,277,8
File,"DecodedBitStreamParserTestCase.java","@l./core/src/test/java/com/google/zxing/datamatrix/decoder/DecodedBitStreamParserTestCase.java",,"1.16",,2,0,2,,,19,47,9,2
