Kind,Name,Entity_Uniquename,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountLine,CountLineCode,CountSemicolon,CountDeclFunction
Function,"(unnamed_function_1).setDefaultURL.func","@l(unnamed_function_1).setDefaultURL.func@kw15(unnamed_function_1).setdefaulturl.func:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,5,5,,
Function,"(unnamed_function_1).setHash","@l(unnamed_function_1).setHash@kw15(unnamed_function_1).sethash:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,6,4,,
Function,"(unnamed_function_1).setHash","@l(unnamed_function_1).setHash@kw15(unnamed_function_1).sethash:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,6,4,,
Public Method,"(unnamed_function_1).setTitle","@l(unnamed_function_1).setTitle@kw14(unnamed_function_1).settitle:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",5,,,,,,,,17,16,,
Public Method,"(unnamed_function_1).setTitle","@l(unnamed_function_1).setTitle@kw14(unnamed_function_1).settitle:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",5,,,,,,,,17,16,,
Public Method,"(unnamed_function_1).setURL","@l(unnamed_function_1).setURL@kw14(unnamed_function_1).seturl:./actionscript/zxing client/html-template/history/history.js@f./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,3,3,,
Public Method,"(unnamed_function_1).setURL","@l(unnamed_function_1).setURL@kw14(unnamed_function_1).seturl:./actionscript/zxing client/bin-debug/history/history.js@f./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,3,3,,
Unnamed Function,"(unnamed_function_4)","@l(unnamed_function_4)@p@l./actionscript/zxing client/html-template/history/history.js",4,,,,,,,,20,20,,
Unnamed Function,"(unnamed_function_4)","@l(unnamed_function_4)@p@l./actionscript/zxing client/bin-debug/history/history.js",4,,,,,,,,20,20,,
Unnamed Function,"(unnamed_function_4).(unnamed_function_5)","@l(unnamed_function_4).(unnamed_function_5)@p@l(unnamed_function_4)@p@l./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,4,4,,
Unnamed Function,"(unnamed_function_4).(unnamed_function_5)","@l(unnamed_function_4).(unnamed_function_5)@p@l(unnamed_function_4)@p@l./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,4,4,,
Unnamed Function,"(unnamed_function_4).(unnamed_function_6)","@l(unnamed_function_4).(unnamed_function_6)@p@l(unnamed_function_4)@p@l./actionscript/zxing client/html-template/history/history.js",2,,,,,,,,5,5,,
Unnamed Function,"(unnamed_function_4).(unnamed_function_6)","@l(unnamed_function_4).(unnamed_function_6)@p@l(unnamed_function_4)@p@l./actionscript/zxing client/bin-debug/history/history.js",2,,,,,,,,5,5,,
Unnamed Function,"(unnamed_function_7)","@l(unnamed_function_7)@p@l./actionscript/zxing client/html-template/history/history.js",1,,,,,,,,1,1,,
Unnamed Function,"(unnamed_function_7)","@l(unnamed_function_7)@p@l./actionscript/zxing client/bin-debug/history/history.js",1,,,,,,,,1,1,,
Function,"AC_AddExtension","@lAC_AddExtension@kw15ac_addextension:./actionscript/zxing client/bin-debug/AC_OETags.js@f./actionscript/zxing client/bin-debug/AC_OETags.js",4,,,,,,,,21,19,,
Function,"AC_AddExtension","@lAC_AddExtension@kw15ac_addextension:./actionscript/zxing client/html-template/AC_OETags.js@f./actionscript/zxing client/html-template/AC_OETags.js",4,,,,,,,,21,19,,
Function,"AC_FL_RunContent","@lAC_FL_RunContent@kw15ac_fl_runcontent:./actionscript/zxing client/html-template/AC_OETags.js@f./actionscript/zxing client/html-template/AC_OETags.js",1,,,,,,,,8,8,,
Function,"AC_FL_RunContent","@lAC_FL_RunContent@kw15ac_fl_runcontent:./actionscript/zxing client/bin-debug/AC_OETags.js@f./actionscript/zxing client/bin-debug/AC_OETags.js",1,,,,,,,,8,8,,
Function,"AC_Generateobj","@lAC_Generateobj@kw15ac_generateobj:./actionscript/zxing client/bin-debug/AC_OETags.js@f./actionscript/zxing client/bin-debug/AC_OETags.js",5,,,,,,,,21,20,,
Function,"AC_Generateobj","@lAC_Generateobj@kw15ac_generateobj:./actionscript/zxing client/html-template/AC_OETags.js@f./actionscript/zxing client/html-template/AC_OETags.js",5,,,,,,,,21,20,,
Function,"AC_GetArgs","@lAC_GetArgs@kw15ac_getargs:./actionscript/zxing client/bin-debug/AC_OETags.js@f./actionscript/zxing client/bin-debug/AC_OETags.js",57,,,,,,,,82,81,,
Function,"AC_GetArgs","@lAC_GetArgs@kw15ac_getargs:./actionscript/zxing client/html-template/AC_OETags.js@f./actionscript/zxing client/html-template/AC_OETags.js",57,,,,,,,,82,81,,
File,"AC_OETags.js","@l./actionscript/zxing client/html-template/AC_OETags.js",0,"0.12",,,,,,,292,242,,7
File,"AC_OETags.js","@l./actionscript/zxing client/bin-debug/AC_OETags.js",0,"0.12",,,,,,,292,242,,7
File,"AI013103decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013103decoder.java",,"1.80",,3,0,3,,,49,15,5,3
File,"AI01320xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01320xDecoder.java",,"1.23",,3,0,3,,,57,22,7,3
File,"AI01392xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01392xDecoder.java",,"0.96",,2,0,2,,,68,28,17,2
File,"AI01393xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01393xDecoder.java",,"0.71",,2,0,2,,,78,38,22,2
File,"AI013x0x1xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.java",,"0.44",,5,2,5,,,109,64,39,5
File,"AI013x0xDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0xDecoder.java",,"1.35",,2,0,2,,,57,20,11,2
File,"AI01AndOtherAIs.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01AndOtherAIs.java",,"1.50",,2,0,2,,,58,20,13,2
File,"AI01_3103_DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI01_3103_DecoderTest.java",,"1.17",,3,0,3,,,58,23,12,3
File,"AI01_3202_3203_DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI01_3202_3203_DecoderTest.java",,"1.59",,2,0,2,,,53,17,9,2
File,"AI01_3X0X_1X_DecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI01_3X0X_1X_DecoderTest.java",,"0.41",,9,0,9,,,117,66,37,9
File,"AI01decoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01decoder.java",,"0.72",,3,0,4,,,81,39,23,4
File,"AI01weightDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI01weightDecoder.java",,"1.23",,4,0,4,,,60,22,14,4
File,"ASCIIEncoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/ASCIIEncoder.java",,"0.27",,2,0,3,,,82,59,31,3
File,"AbstractBlackBoxTestCase.java","@l./core/src/test/java/com/google/zxing/common/AbstractBlackBoxTestCase.java",,"0.15",,9,4,11,,,344,262,158,11
File,"AbstractDecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AbstractDecoderTest.java",,"0.80",,0,0,1,,,77,35,30,1
File,"AbstractDoCoMoResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AbstractDoCoMoResultParser.java",,"2.78",,0,0,2,,,39,9,3,2
File,"AbstractErrorCorrectionTestCase.java","@l./core/src/test/java/com/google/zxing/pdf417/decoder/ec/AbstractErrorCorrectionTestCase.java",,"0.47",,0,0,3,,,64,38,24,3
File,"AbstractExpandedDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AbstractExpandedDecoder.java",,"0.57",,4,2,5,,,93,49,29,5
File,"AbstractNegativeBlackBoxTestCase.java","@l./core/src/test/java/com/google/zxing/common/AbstractNegativeBlackBoxTestCase.java",,"0.30",,7,3,7,,,159,106,66,7
File,"AbstractRSSReader.java","@l./core/src/main/java/com/google/zxing/oned/rss/AbstractRSSReader.java",,"0.16",,7,6,12,,,133,99,55,12
File,"AddressBookAUResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookAUResultParser.java",,"0.48",,1,0,2,,,91,56,23,2
File,"AddressBookDoCoMoResultParser.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookDoCoMoResultParser.java",,"0.68",,1,0,2,,,92,50,20,2
File,"AddressBookParsedResult.java","@l./core/src/main/java/com/google/zxing/client/result/AddressBookParsedResult.java",,"0.29",,19,16,19,,,208,143,66,19
File,"AddressBookParsedResultTestCase.java","@l./core/src/test/java/com/google/zxing/client/result/AddressBookParsedResultTestCase.java",,"0.18",,12,0,13,,,146,109,35,13
File,"AddressBookResultHandler.java","@l./android/src/com/google/zxing/client/android/result/AddressBookResultHandler.java",,"0.15",,7,2,8,,,219,172,85,8
File,"AlignmentPattern.java","@l./core/src/main/java/com/google/zxing/qrcode/detector/AlignmentPattern.java",,"1.32",,3,1,3,,,59,22,12,3
File,"AlignmentPatternFinder.java","@l./core/src/main/java/com/google/zxing/qrcode/detector/AlignmentPatternFinder.java",,"0.58",,5,9,6,,,277,166,92,6
File,"AllPositiveBlackBoxTester.java","@l./core/src/test/java/com/google/zxing/AllPositiveBlackBoxTester.java",,"0.32",,1,0,2,,,117,81,42,2
File,"AmbientLightManager.java","@l./android/src/com/google/zxing/client/android/AmbientLightManager.java",,"0.42",,5,3,5,,,86,53,28,5
File,"AndroidManifest.xml","@l./androidtest/AndroidManifest.xml",0,"0.43",,,,,,,49,28,,0
File,"AndroidManifest.xml","@l./android/AndroidManifest.xml",0,"0.18",,,,,,,157,125,,0
File,"AnyAIDecoder.java","@l./core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AnyAIDecoder.java",,"1.87",,2,0,2,,,50,15,8,2
File,"AnyAIDecoderTest.java","@l./core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AnyAIDecoderTest.java",,"0.66",,6,0,6,,,85,41,21,6
File,"AppInfo.java","@l./android/src/com/google/zxing/client/android/share/AppInfo.java",,"0.39",,7,3,7,,,65,38,16,7
File,"AppPickerActivity.java","@l./android/src/com/google/zxing/client/android/share/AppPickerActivity.java",,"0.40",,3,1,3,,,63,40,24,3
File,"AutoFocusManager.java","@l./android/src/com/google/zxing/client/android/camera/AutoFocusManager.java",,"0.21",,7,5,7,,,132,96,48,7
File,"AztecBlackBox1TestCase.java","@l./core/src/test/java/com/google/zxing/aztec/AztecBlackBox1TestCase.java",,"1.50",,1,0,1,,,35,12,8,1
File,"AztecBlackBox2TestCase.java","@l./core/src/test/java/com/google/zxing/aztec/AztecBlackBox2TestCase.java",,"1.67",,1,0,1,,,37,12,8,1
File,"AztecCode.java","@l./core/src/main/java/com/google/zxing/aztec/encoder/AztecCode.java",,"0.90",,10,5,10,,,89,39,17,10
File,"AztecDetectorResult.java","@l./core/src/main/java/com/google/zxing/aztec/AztecDetectorResult.java",,"0.54",,4,3,4,,,52,28,14,4
File,"AztecReader.java","@l./core/src/main/java/com/google/zxing/aztec/AztecReader.java",,"0.37",,3,0,3,,,117,76,41,3
File,"AztecWriter.java","@l./core/src/main/java/com/google/zxing/aztec/AztecWriter.java",,"0.27",,2,0,4,,,88,60,34,4
File,"BarcodeFormat.java","@l./core/src/main/java/com/google/zxing/BarcodeFormat.java",,"1.85",,2,17,2,,,77,20,1,0
File,"BarcodeMatrix.java","@l./core/src/main/java/com/google/zxing/pdf417/encoder/BarcodeMatrix.java",,"0.97",,6,4,6,,,82,36,22,6
File,"BarcodeMetadata.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/BarcodeMetadata.java",,"0.60",,6,5,6,,,58,30,16,6
File,"BarcodeRow.java","@l./core/src/main/java/com/google/zxing/pdf417/encoder/BarcodeRow.java",,"1.81",,5,2,5,,,85,27,15,5
File,"BarcodeValue.java","@l./core/src/main/java/com/google/zxing/pdf417/decoder/BarcodeValue.java",,"0.71",,3,1,3,,,68,35,20,3
File,"Base256Encoder.java","@l./core/src/main/java/com/google/zxing/datamatrix/encoder/Base256Encoder.java",,"0.31",,2,0,3,,,74,51,26,3
File,"BeepManager.java","@l./android/src/com/google/zxing/client/android/BeepManager.java",,"0.28",,6,4,7,,,125,85,51,7
File,"BenchmarkActivity.java","@l./androidtest/src/com/google/zxing/client/androidtest/BenchmarkActivity.java",,"0.39",,3,4,3,,,61,38,25,3
File,"BenchmarkAsyncTask.java","@l./androidtest/src/com/google/zxing/client/androidtest/BenchmarkAsyncTask.java",,"0.19",,3,2,5,,,132,95,63,5
File,"BenchmarkItem.java","@l./androidtest/src/com/google/zxing/client/androidtest/BenchmarkItem.java",,"0.37",,6,5,6,,,85,54,35,6
File,"Binarizer.java","@l./core/src/main/java/com/google/zxing/Binarizer.java",,"2.48",,7,1,7,,,85,21,11,7
